ticker,year,sector,report_date,available_from,market_cap,pe,pb,roe,debt_equity,netdebt_ebitda,dividend_yield,free_float,source_main_url,source_metric_urls,data_quality_note
FEES,2024,Электроэнергетика,2024-12-31,2025-03-28,163.8,1.06,0.1,9.1,,0.77,0.0,16.0,https://smart-lab.ru/q/FEES/f/y/MSFO/,market_cap=https://smart-lab.ru/q/shares_fundamental4/?field=market_cap; pe=https://smart-lab.ru/q/shares_fundamental4/?field=p_e; pb=https://smart-lab.ru/q/shares_fundamental4/?field=p_bv ; banks: https://smart-lab.ru/q/shares_fundamental4/?field=p_b; roe=https://smart-lab.ru/q/shares_fundamental4/?field=roe; netdebt_ebitda=https://smart-lab.ru/q/shares_fundamental4/?field=debt_ebitda; dividend_yield=https://smart-lab.ru/q/shares_fundamental4/?field=div_yield; free_float=https://smart-lab.ru/q/shares_fundamental4/?field=free_float; annual_msfo_table=https://smart-lab.ru/q/FEES/f/y/MSFO/; official_ir_site=https://www.fsk-ees.ru,verified_2026-05-27_from_smartlab_annual_msfo_financial_table; actual_report_publication_date_used_as_available_from; blanks_mean_metric_absent_or_ambiguous_not_imputed
MTSS,2019,Телеком/холдинги,2019-12-31,2020-07-01,639.4,11.8,-7.49,163.9,,1.33,13.3,41.0,https://smart-lab.ru/q/MTSS/f/y/MSFO/,https://smart-lab.ru/q/shares_fundamental4/?field=market_cap; https://smart-lab.ru/q/shares_fundamental4/?field=p_e; https://smart-lab.ru/q/shares_fundamental4/?field=p_bv ; banks: https://smart-lab.ru/q/shares_fundamental4/?field=p_b; https://smart-lab.ru/q/shares_fundamental4/?field=roe; https://smart-lab.ru/q/shares_fundamental4/?field=debt_ebitda; https://smart-lab.ru/q/shares_fundamental4/?field=div_yield; https://smart-lab.ru/q/shares_fundamental4/?field=free_float,Annual financial/fundamental metrics; debt_equity left blank because cross-company definition was not consistently available in the selected source pages.; uploaded_2019_2022_dataset; available_from_conservative_july1_next_year; no_forward_fill_added
MTSS,2020,Телеком/холдинги,2020-12-31,2021-07-01,659.4,10.7,-6.63,213.9,,1.73,10.7,41.0,https://smart-lab.ru/q/MTSS/f/y/MSFO/,https://smart-lab.ru/q/shares_fundamental4/?field=market_cap; https://smart-lab.ru/q/shares_fundamental4/?field=p_e; https://smart-lab.ru/q/shares_fundamental4/?field=p_bv ; banks: https://smart-lab.ru/q/shares_fundamental4/?field=p_b; https://smart-lab.ru/q/shares_fundamental4/?field=roe; https://smart-lab.ru/q/shares_fundamental4/?field=debt_ebitda; https://smart-lab.ru/q/shares_fundamental4/?field=div_yield; https://smart-lab.ru/q/shares_fundamental4/?field=free_float,Annual financial/fundamental metrics; debt_equity left blank because cross-company definition was not consistently available in the selected source pages.; uploaded_2019_2022_dataset; available_from_conservative_july1_next_year; no_forward_fill_added
MTSS,2021,Телеком/холдинги,2021-12-31,2022-07-01,596.0,9.39,-4.48,649.9,,1.78,14.9,41.0,https://smart-lab.ru/q/MTSS/f/y/MSFO/,https://smart-lab.ru/q/shares_fundamental4/?field=market_cap; https://smart-lab.ru/q/shares_fundamental4/?field=p_e; https://smart-lab.ru/q/shares_fundamental4/?field=p_bv ; banks: https://smart-lab.ru/q/shares_fundamental4/?field=p_b; https://smart-lab.ru/q/shares_fundamental4/?field=roe; https://smart-lab.ru/q/shares_fundamental4/?field=debt_ebitda; https://smart-lab.ru/q/shares_fundamental4/?field=div_yield; https://smart-lab.ru/q/shares_fundamental4/?field=free_float,Annual financial/fundamental metrics; debt_equity left blank because cross-company definition was not consistently available in the selected source pages.; uploaded_2019_2022_dataset; available_from_conservative_july1_next_year; no_forward_fill_added
MTSS,2022,Телеком/холдинги,2022-12-31,2023-07-01,470.8,14.5,-2.7,-347.6,,1.88,14.6,41.0,https://smart-lab.ru/q/MTSS/f/y/MSFO/,https://smart-lab.ru/q/shares_fundamental4/?field=market_cap; https://smart-lab.ru/q/shares_fundamental4/?field=p_e; https://smart-lab.ru/q/shares_fundamental4/?field=p_bv ; banks: https://smart-lab.ru/q/shares_fundamental4/?field=p_b; https://smart-lab.ru/q/shares_fundamental4/?field=roe; https://smart-lab.ru/q/shares_fundamental4/?field=debt_ebitda; https://smart-lab.ru/q/shares_fundamental4/?field=div_yield; https://smart-lab.ru/q/shares_fundamental4/?field=free_float,Annual financial/fundamental metrics; debt_equity left blank because cross-company definition was not consistently available in the selected source pages.; uploaded_2019_2022_dataset; available_from_conservative_july1_next_year; no_forward_fill_added
MTSS,2023,Телеком/холдинги,2023-12-31,2024-03-05,496.5,9.1,-2.21,-1069.6,,2.01,14.1,41.0,https://smart-lab.ru/q/MTSS/f/y/MSFO/,market_cap=https://smart-lab.ru/q/shares_fundamental4/?field=market_cap; pe=https://smart-lab.ru/q/shares_fundamental4/?field=p_e; pb=https://smart-lab.ru/q/shares_fundamental4/?field=p_bv ; banks: https://smart-lab.ru/q/shares_fundamental4/?field=p_b; roe=https://smart-lab.ru/q/shares_fundamental4/?field=roe; netdebt_ebitda=https://smart-lab.ru/q/shares_fundamental4/?field=debt_ebitda; dividend_yield=https://smart-lab.ru/q/shares_fundamental4/?field=div_yield; free_float=https://smart-lab.ru/q/shares_fundamental4/?field=free_float; annual_msfo_table=https://smart-lab.ru/q/MTSS/f/y/MSFO/; official_ir_site=https://ir.mts.ru,verified_2026-05-27_from_smartlab_annual_msfo_financial_table; actual_report_publication_date_used_as_available_from; blanks_mean_metric_absent_or_ambiguous_not_imputed; negative_equity_distorts_pb_roe_as_reported
MTSS,2024,Телеком/холдинги,2024-12-31,2025-03-05,417.9,13.3,-1.63,-83.6,,2.3,16.7,41.0,https://smart-lab.ru/q/MTSS/f/y/MSFO/,market_cap=https://smart-lab.ru/q/shares_fundamental4/?field=market_cap; pe=https://smart-lab.ru/q/shares_fundamental4/?field=p_e; pb=https://smart-lab.ru/q/shares_fundamental4/?field=p_bv ; banks: https://smart-lab.ru/q/shares_fundamental4/?field=p_b; roe=https://smart-lab.ru/q/shares_fundamental4/?field=roe; netdebt_ebitda=https://smart-lab.ru/q/shares_fundamental4/?field=debt_ebitda; dividend_yield=https://smart-lab.ru/q/shares_fundamental4/?field=div_yield; free_float=https://smart-lab.ru/q/shares_fundamental4/?field=free_float; annual_msfo_table=https://smart-lab.ru/q/MTSS/f/y/MSFO/; official_ir_site=https://ir.mts.ru,verified_2026-05-27_from_smartlab_annual_msfo_financial_table; actual_report_publication_date_used_as_available_from; blanks_mean_metric_absent_or_ambiguous_not_imputed; negative_equity_distorts_pb_roe_as_reported
RTKM,2019,Телеком/холдинги,2019-12-31,2020-07-01,216.5,10.7,2.59,9.6,,2.0,6.4,29.0,https://smart-lab.ru/q/RTKM/f/y/MSFO/,https://smart-lab.ru/q/shares_fundamental4/?field=market_cap; https://smart-lab.ru/q/shares_fundamental4/?field=p_e; https://smart-lab.ru/q/shares_fundamental4/?field=p_bv ; banks: https://smart-lab.ru/q/shares_fundamental4/?field=p_b; https://smart-lab.ru/q/shares_fundamental4/?field=roe; https://smart-lab.ru/q/shares_fundamental4/?field=debt_ebitda; https://smart-lab.ru/q/shares_fundamental4/?field=div_yield; https://smart-lab.ru/q/shares_fundamental4/?field=free_float,Annual financial/fundamental metrics; debt_equity left blank because cross-company definition was not consistently available in the selected source pages.; uploaded_2019_2022_dataset; available_from_conservative_july1_next_year; no_forward_fill_added
RTKM,2020,Телеком/холдинги,2020-12-31,2021-07-01,335.7,14.4,8.57,12.9,,1.93,5.2,29.0,https://smart-lab.ru/q/RTKM/f/y/MSFO/,https://smart-lab.ru/q/shares_fundamental4/?field=market_cap; https://smart-lab.ru/q/shares_fundamental4/?field=p_e; https://smart-lab.ru/q/shares_fundamental4/?field=p_bv ; banks: https://smart-lab.ru/q/shares_fundamental4/?field=p_b; https://smart-lab.ru/q/shares_fundamental4/?field=roe; https://smart-lab.ru/q/shares_fundamental4/?field=debt_ebitda; https://smart-lab.ru/q/shares_fundamental4/?field=div_yield; https://smart-lab.ru/q/shares_fundamental4/?field=free_float,Annual financial/fundamental metrics; debt_equity left blank because cross-company definition was not consistently available in the selected source pages.; uploaded_2019_2022_dataset; available_from_conservative_july1_next_year; no_forward_fill_added
RTKM,2021,Телеком/холдинги,2021-12-31,2022-07-01,302.3,10.6,7.86,15.2,,1.8,5.2,29.0,https://smart-lab.ru/q/RTKM/f/y/MSFO/,https://smart-lab.ru/q/shares_fundamental4/?field=market_cap; https://smart-lab.ru/q/shares_fundamental4/?field=p_e; https://smart-lab.ru/q/shares_fundamental4/?field=p_bv ; banks: https://smart-lab.ru/q/shares_fundamental4/?field=p_b; https://smart-lab.ru/q/shares_fundamental4/?field=roe; https://smart-lab.ru/q/shares_fundamental4/?field=debt_ebitda; https://smart-lab.ru/q/shares_fundamental4/?field=div_yield; https://smart-lab.ru/q/shares_fundamental4/?field=free_float,Annual financial/fundamental metrics; debt_equity left blank because cross-company definition was not consistently available in the selected source pages.; uploaded_2019_2022_dataset; available_from_conservative_july1_next_year; no_forward_fill_added
